UID,Length,WFPI_Cm_20210701,WFPI_Cm_20210702,WFPI_Cm_20210703,WFPI_Cm_20210704,WFPI_Cm_20210705,WFPI_Cm_20210706,WFPI_Cm_20210707,WFPI_Cm_20210708,WFPI_Cm_20210709,WFPI_Cm_20210710,WFPI_Cm_20210711,WFPI_Cm_20210712,WFPI_Cm_20210713,WFPI_Cm_20210714,WFPI_Cm_20210715,WFPI_Cm_20210716,WFPI_Cm_20210717,WFPI_Cm_20210718,WFPI_Cm_20210719,WFPI_Cm_20210720,WFPI_Cm_20210721,WFPI_Cm_20210722,WFPI_Cm_20210723,WFPI_Cm_20210724,WFPI_Cm_20210725,WFPI_Cm_20210726,WFPI_Cm_20210727,WFPI_Cm_20210728,WFPI_Cm_20210729,WFPI_Cm_20210730,WFPI_Cm_20210731,WFPI_Cm_20210801,WFPI_Cm_20210802,WFPI_Cm_20210803,WFPI_Cm_20210804,WFPI_Cm_20210805,WFPI_Cm_20210806,WFPI_Cm_20210807,WFPI_Cm_20210808,WFPI_Cm_20210809,WFPI_Cm_20210810,WFPI_Cm_20210811,WFPI_Cm_20210812,WFPI_Cm_20210813,WFPI_Cm_20210814,WFPI_Cm_20210815,WFPI_Cm_20210816,WFPI_Cm_20210817,WFPI_Cm_20210818,WFPI_Cm_20210819,WFPI_Cm_20210820,WFPI_Cm_20210821,WFPI_Cm_20210822,WFPI_Cm_20210823,WFPI_Cm_20210824,WFPI_Cm_20210825,WFPI_Cm_20210826,WFPI_Cm_20210827,WFPI_Cm_20210828,WFPI_Cm_20210829,WFPI_Cm_20210830,WFPI_Cm_20210831
A1,2.706963152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2,49.18261592,1724.6469427851275,1753.3978935618807,1632.6833433862976,1542.3322977235812,1835.2310558669324,2090.5322791549106,1971.3893003588091,1759.553331698246,1876.2167004889845,1970.3447871422422,1968.0323246131322,1784.78608906673,1861.4679251735054,1890.42538903721,1862.7735049059552,1855.3410804815799,1645.7468939194782,1685.492463255157,1433.3710326654736,1514.0914856556096,1728.8711619304224,584.8972205750368,1758.9136558902078,1240.3234303278591,579.6517196361981,1306.4281362417944,1499.713783360242,1763.110232135372,1740.9134589878113,955.6283144593978,1274.4133329969288,1612.2904557458885,1631.2789429876227,1733.990152318624,1808.6548667044947,1696.891607287492,1689.1371408037119,1683.8697431205696,1677.0954965408043,1424.080152772518,703.9186552009995,18.850764700245705,604.2638328370715,1107.7485651012007,1250.8882588933516,1122.7993086965635,1544.903468292963,1641.1933181684503,1669.9665507285222,1548.5943770097279,1636.8378250330345,1889.283833985331,1918.324358149848,1889.0493048389217,1775.9822348453406,1749.3144745049835,1798.7572058260828,1812.166706506622,1802.0730276093386,1575.762521090974,1568.1650459915636,1023.0937616972853
A3,20.46001828,1378.774851284633,1400.8523428450658,1395.0710866719696,1315.2007082125967,1536.231546689016,1698.1558861684198,1560.3851422626362,1402.0567767397272,1610.377222235042,1618.6926539622796,1604.887505886001,1390.6323679580958,1475.5346158047018,1493.3635261644922,1474.4368659688748,1449.379665683724,1301.6297088812405,1299.4756835710934,1168.2457275427942,1070.6298664634437,1355.394906401744,16.73193918888453,1472.3551116183748,879.0156001952827,82.77748216872965,853.7006569079344,1217.1714115029124,1385.7874845165625,1373.9351667724839,477.6777831571823,1062.0789454177116,1355.3794079722372,1346.006684446345,1459.2966218372535,1559.5676145987513,1464.3921888258615,1345.124833349839,1341.4055583269114,1394.8519776583062,1169.5918589129326,604.6343643857272,123.78629217910772,549.9806792226287,876.7070631475412,971.7508803999635,1046.3974371242498,1148.3932596389366,1241.2500992148337,1288.9315143236806,1240.2570309032615,1321.4124762528972,1549.8486987445874,1587.703594911139,1523.6115154552886,1508.386449235619,1387.8475074357555,1460.3780088819221,1411.8221758056404,1432.1991752637955,1229.9094027116726,1256.190507506221,543.9805941711593
A4,31.33240865,740.3199388487818,737.2819776741183,752.1073644130214,740.3199388487818,788.1985835952723,889.2275597772833,806.4295214136586,797.6797837950526,854.2232850610903,846.4916705888847,819.8784518565406,752.1075921403577,791.1565513379627,795.2070775627586,773.6573298477917,763.5312997233614,698.596890251867,717.5520239420313,648.1242923009657,575.4530666524118,768.314062224142,8.749787878781111,718.1261247735548,417.1045883923822,8.749787878781111,353.54254701187335,659.8333095508535,744.6555769031501,697.9470958129536,206.82351466322183,645.6574347151916,715.2907525752928,752.7543097265516,794.3996996530152,830.3330991849123,780.8729284130332,731.4904940260831,737.5658745986046,772.8500355562876,632.6500373661548,337.1866188160777,390.098574630911,393.8906552228173,532.5618098929939,538.4288503970471,587.8112111727899,619.8497283775375,676.3981820594972,703.6597848342622,647.111259563234,719.1338096066557,845.3157488079535,865.8527269737209,850.2993636195662,830.7746230460624,745.6670438029853,793.7507961955174,786.6625869062092,787.675361014394,685.0683537920237,713.057478071532,200.2294660432124
A5,33.30451871,1508.3406768993505,1557.1893449088482,1460.7681216825795,1389.7393995035636,1660.6644028263215,1892.5962287622283,1753.076293873959,1512.7227871752918,1755.1777444521122,1805.8459165465224,1781.3904786986245,1605.66411627856,1650.8676898352992,1723.0691225793253,1690.446185542856,1662.4190924312925,1465.6106956480721,1479.180216042579,1162.702746628629,1182.085551627465,1468.3672528634647,18.594530273385214,1568.7855734913103,907.6927157019688,172.69941515487,1039.9712347275304,1287.1717562521796,1524.336837581499,1537.2328587556478,514.697880948152,1084.8448055411188,1462.957010787383,1492.2561065175676,1655.105322711831,1748.4731634179861,1639.9670162577252,1534.5977836813138,1527.7219525639796,1537.832769347467,1241.7406358516162,572.002733653099,18.594545062711102,552.1624169464185,805.8583563454777,1017.25996813679,1032.9952226681191,1318.5846301594295,1419.0717598636309,1444.2990095556386,1374.3704839920179,1483.1097060959362,1740.084570992263,1785.6594571338253,1594.8248390800507,1561.544459793388,1464.8881191592243,1529.658012566234,1503.108409944549,1482.5882352655628,1288.0185964566735,1339.5772083538195,730.0979929275095
A6,33.67255093,350.77553208079325,336.73775531036586,326.0036339558741,317.65106524718374,388.0760230656514,436.7302497553981,423.31949041559955,382.634584349945,391.3950953133294,409.182457403937,420.4674145906758,378.1701172607011,384.05734358057214,396.64823821918276,392.6108180042406,393.3129881848277,366.8170715403943,356.2596145126254,344.90647431710255,332.43756836148987,367.64312050474945,336.45124921457887,362.4928782557904,313.5465825016733,247.48685545555958,297.5456886549808,320.8979714680249,349.42943119568514,344.5806112193951,302.79264301807535,297.9613668156226,341.952069317893,373.1381532536865,374.4636447952504,380.2883269963912,381.45082841131847,385.36629843686796,374.10719099907806,385.454442992104,347.14777419500496,311.2197014319566,4.106028089396959,95.51374628151453,309.80219415618484,316.4787482077993,300.45342435154635,376.66585075555906,390.36544708379665,400.49178080499865,368.2220261242769,361.50314842102625,414.7158338874311,408.46231869300294,409.18936560820305,408.3665847577753,388.5623813928445,394.4409528283948,398.3380415043375,386.58532000160494,361.49571683200094,364.32848732272777,274.2000532223163
A8,28.74502579,586.8164922934142,594.5877741643629,590.7015134127062,575.4884211075054,634.023695875495,687.7735515147785,664.9000107044612,598.8449858700235,646.7910415571118,643.8941770444228,644.7757776506407,585.8478741256685,611.6679556424972,557.8372086541485,609.4405616641341,613.2073226272477,573.1475309279696,546.4764850659767,511.89418207913934,485.5403146789414,559.1852808559302,358.06249817850204,584.1867609689222,452.304250218631,154.34321353245366,370.0863245891327,528.7947489734141,594.5376931314781,572.9640522713197,385.4135987631058,511.42866567812314,553.1801591549857,617.400437679355,616.4770189720309,641.3910346517923,641.9139227633424,605.2847557932565,610.207708706108,641.2293223594856,544.5640117429465,424.8810440335492,197.1693057416939,342.0270929756851,361.0876727438579,442.30547722041604,448.03125849677616,536.7201931288199,561.663486981149,567.2363658631658,544.9612329885144,540.9033075023915,632.702237904022,641.913595807031,639.1718923887375,633.2016462784161,611.3380462778134,612.719764859284,608.4468481311078,611.9855543133265,540.3547599637947,567.2856734945619,255.67633818162815
A9,24.30559155,711.8244056932675,694.0063735646197,689.5977244678004,680.7795274306668,745.1733341836465,813.1748985041872,759.03698210901,690.9282938976703,768.2390713679448,768.2390713679448,768.2390713679448,669.9638594896628,716.7986357371855,721.8061150142115,711.6658818573974,708.936677603542,647.0334473060445,617.8039020607441,601.5869918947103,558.5488602382138,647.8757511231613,172.19248003885795,692.7170058890161,465.85627733596687,162.5640384615946,455.55310260689964,615.537974909047,698.0872916513947,692.1349816350983,433.202894601121,629.1804733614595,692.1349816350983,690.6162573017381,728.2342179629128,773.7244433631826,751.0849949112231,677.7438483760872,668.5899273240335,712.2272832546811,609.4533020165646,514.2725719866711,59.76117579685536,428.3378948904492,414.4733629792712,552.6743871778347,545.8010238264126,605.9949086845096,684.2342000881438,637.4854840238083,650.4161991157979,650.2752634354573,761.5733107223119,771.4081245319016,778.6865981547285,777.359182278595,735.1397752118472,754.7701234382353,750.628982166964,735.281047687165,649.1885084657732,642.4610041853822,307.3706029788079
A10,13.63337328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11,16.76563266,737.4882700873243,713.634392776261,696.3864261765707,341.7646530391694,828.4167505412951,911.67364949187,869.2123938520142,826.911607379532,848.408754284466,817.9158251863122,855.6233208359498,781.6208659474817,773.7852000773233,9.726506718793388,725.2340071003435,731.6368105865647,634.489981569708,648.811051045419,560.8841898274934,387.61529417321873,500.9287318166506,489.5457969872228,523.5892146670458,366.38609616128207,9.726506718793388,9.726506718793388,570.965391936074,655.02702982947,568.1088929476324,9.726506718793388,414.22497139243313,592.037955024837,590.8388868797547,671.6959493066381,723.3760142997476,759.1176492029755,752.13087504625,752.0945054351243,764.1359832564956,689.983857965243,393.25752680335967,158.7089118325931,386.5753208005242,9.726506718793388,503.94742462636674,542.8177086205902,625.3345880134868,698.6606556663033,595.0390057315393,619.8953408751582,713.1344276805072,834.2026564359643,876.7666908324052,740.8493974822766,720.8580027500478,679.9082375548627,697.6242060014914,688.5539170732824,671.3801374925274,629.4275784943031,663.3854032621741,425.32318100195585
